check_id,status,expected,actual,notes
gate_mode,ok,warn-only|artifact-count-strict,artifact-count-strict,strict artifact-count gate may be enabled by policy or SERVICE_REGISTER_STRICT=1
service_rows,ok,46,46,count matches expected
canonical_repos,ok,121,121,count matches expected
edge_rows,ok,119,119,count matches expected
contract_stubs,ok,4,4,count matches expected
canonical_repo_mirror_pin,ok,65ea58eae2c8a25eb80e14de6bd5a0ebd4eb1577,65ea58eae2c8a25eb80e14de6bd5a0ebd4eb1577,local mirror Git blob SHA matches pinned upstream mirror identity
